miRNA,log2FC,p_value,adj_p,Direction,Significant
hsa-let-7a-3p,-1.4336790249110756,0.38695912756327344,0.5636015384662029,Down_in_LUAD,False
hsa-let-7a-5p,-0.7999157741142469,0.13459518521556466,0.5362329327587064,Down_in_LUAD,False
hsa-let-7b-3p,0.5164844373411972,0.4174022630401574,0.5864532532257881,Up_in_LUAD,False
hsa-let-7b-5p,0.35530794388852627,0.4317882406427769,0.5989057425858956,Up_in_LUAD,False
hsa-let-7c-5p,-0.34210895443838396,0.5929611407643331,0.7219940483035955,Down_in_LUAD,False
hsa-let-7d-3p,-0.3896922157153604,0.5566187678864352,0.697784894301786,Down_in_LUAD,False
hsa-let-7d-5p,0.14890120316954736,0.6963263080578532,0.806183613940767,Up_in_LUAD,False
hsa-let-7e-5p,0.025900102779639056,0.9722387224161189,0.9867188736010398,Up_in_LUAD,False
hsa-let-7f-1-3p,-1.2899100987970322,0.3212711075765314,0.5362329327587064,Down_in_LUAD,False
hsa-let-7f-2-3p,-2.172830877664039,0.26641704616542,0.5362329327587064,Down_in_LUAD,False
hsa-let-7f-5p,-1.0137843242472915,0.0767043129350786,0.5362329327587064,Down_in_LUAD,False
hsa-let-7g-3p,-28.317409348057517,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-let-7g-5p,-0.3233470779383847,0.2711378805882844,0.5362329327587064,Down_in_LUAD,False
hsa-let-7i-3p,-29.3779344815709,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-let-7i-5p,-0.7542616776424946,0.1798960851226186,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1,0.9120207187791163,0.5474753526700012,0.6936141918289258,Up_in_LUAD,False
hsa-miR-100-5p,0.7128196086073579,0.6347009978329898,0.7568809399158404,Up_in_LUAD,False
hsa-miR-101-3p,-0.4938364046171486,0.5532949221649659,0.6966225262933253,Down_in_LUAD,False
hsa-miR-101-5p,-30.835257649360155,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-106a-5p,-0.17229295365418995,0.9257744201952729,0.9610324231406859,Down_in_LUAD,False
hsa-miR-106b-3p,-0.3355258059935107,0.5813536131581666,0.7137855173138878,Down_in_LUAD,False
hsa-miR-106b-5p,0.9103025937981313,0.3470901262598831,0.5375389293050787,Up_in_LUAD,False
hsa-miR-107,-0.39393791467022865,0.47604736834207895,0.6360632904738702,Down_in_LUAD,False
hsa-miR-10a-3p,2.1117413362393003,0.34150891473174505,0.5362329327587064,Up_in_LUAD,False
